,index_x,Final_Tags
25,"``But I say to you that Elijah has indeed come, and they did to him whatever they wished, just as it is written of him.""",MRK-8-13
27,"When they came back to the disciples, they saw a large crowd around them, and some scribes arguing with them.",MRK-8-14
29,"Immediately, when the entire crowd saw Him, they were amazed and began running up to greet Him.",MRK-8-15
31,"And He asked them, ``What are you discussing with them?""",MRK-8-16
33,"And one of the crowd answered Him, ``Teacher, I brought You my son, possessed with a spirit which makes him mute;",MRK-8-17
35,"and whenever it seizes him, it slams him to the ground and he foams at the mouth, and grinds his teeth and stiffens out. I told Your disciples to cast it out, and they could not do it. """,MRK-8-18
37,"And He answered them and said, ``O unbelieving generation, how long shall I be with you? How long shall I put up with you? Bring him to Me!""",MRK-8-19
39,"They brought the boy to Him. When he saw Him, immediately the spirit threw him into a convulsion, and falling to the ground, he began rolling around and foaming at the mouth.",MRK-8-20
41,"And He asked his father, ``How long has this been happening to him?"" And he said, ``From childhood.",MRK-8-21
43,"``It has often thrown him both into the fire and into the water to destroy him. But if You can do anything, take pity on us and help us!""",MRK-8-22
45,"And Jesus said to him, `` `If You can?' All things are possible to him who believes.""",MRK-8-23
47,"Immediately the boy's father cried out and said, ``I do believe; help my unbelief.""",MRK-8-24
49,"When Jesus saw that a crowd was rapidly gathering, He rebuked the unclean spirit, saying to it, ``You deaf and mute spirit, I command you, come out of him and do not enter him again.""",MRK-8-25
51,"After crying out and throwing him into terrible convulsions, it came out; and the boy became so much like a corpse that most of them said, ``He is dead!""",MRK-8-26
53,But Jesus took him by the hand and raised him; and he got up.,MRK-8-27
55,"When He came into the house, His disciples began questioning Him privately, ``Why could we not drive it out?""",MRK-8-28
57,"And He said to them, ``This kind cannot come out by anything but prayer.""",MRK-8-29
59,"From there they went out and began to go through Galilee, and He did not want anyone to know about it.",MRK-8-30
61,"For He was teaching His disciples and telling them, ``The Son of Man is to be delivered into the hands of men, and they will kill Him; and when He has been killed, He will rise three days later.""",MRK-8-31
63,"But they did not understand this statement, and they were afraid to ask Him.",MRK-8-32
65,"They came to Capernaum; and when He was in the house, He began to question them, ``What were you discussing on the way?""",MRK-8-33
67,"But they kept silent, for on the way they had discussed with one another which of them was the greatest.",MRK-8-34
69,"Sitting down, He called the twelve and said to them, ``If anyone wants to be first, he shall be last of all and servant of all.""",MRK-8-35
71,"Taking a child, He set him before them, and taking him in His arms, He said to them,",MRK-8-36
73,"``Whoever receives one child like this in My name receives Me; and whoever receives Me does not receive Me, but Him who sent Me.""",MRK-8-37
75,"John said to Him, ``Teacher, we saw someone casting out demons in Your name, and we tried to prevent him because he was not following us.""",MRK-8-38
77,"But Jesus said, ``Do not hinder him, for there is no one who will perform a miracle in My name, and be able soon afterward to speak evil of Me.",MRK-8-39
79,``For he who is not against us is for us.,MRK-8-40
81,"``For whoever gives you a cup of water to drink because of your name as followers of Christ, truly I say to you, he will not lose his reward.",MRK-8-41
83,"``Whoever causes one of these little ones who believe to stumble, it would be better for him if, with a heavy millstone hung around his neck, he had been cast into the sea.",MRK-8-42
85,"``If your hand causes you to stumble, cut it off; it is better for you to enter life crippled, than, having your two hands, to go into hell, into the unquenchable fire,",MRK-8-43
87,"[ where THEIR WORM DOES NOT DIE, AND THE FIRE IS NOT QUENCHED.]",MRK-8-44
89,"``If your foot causes you to stumble, cut it off; it is better for you to enter life lame, than, having your two feet, to be cast into hell,",MRK-8-45
91,"[ where THEIR WORM DOES NOT DIE, AND THE FIRE IS NOT QUENCHED.].1",MRK-8-46
92,47,"MRK-8-[ where THEIR WORM DOES NOT DIE, AND THE FIRE IS NOT QUENCHED.].1"
93,"``If your eye causes you to stumble, throw it out; it is better for you to enter the kingdom of God with one eye, than, having two eyes, to be cast into hell,",MRK-8-47
95,"where THEIR WORM DOES NOT DIE, AND THE FIRE IS NOT QUENCHED.",MRK-8-48
97,``For everyone will be salted with fire.,MRK-8-49
99,"``Salt is good; but if the salt becomes unsalty, with what will you make it salty again? Have salt in yourselves, and be at peace with one another.""Copyrighted Material",MRK-8-50
1,"Getting up, He went from there to the region of Judea and beyond the Jordan; crowds gathered around Him again, and, according to His custom, He once more began to teach them.",MRK-9-1
3,"Some Pharisees came up to Jesus, testing Him, and began to question Him whether it was lawful for a man to divorce a wife.",MRK-9-2
5,"And He answered and said to them, ``What did Moses command you?""",MRK-9-3
7,"They said, ``Moses permitted a man TO WRITE A CERTIFICATE OF DIVORCE AND SEND her AWAY.""",MRK-9-4
9,"But Jesus said to them, ``Because of your hardness of heart he wrote you this commandment.",MRK-9-5
11,"``But from the beginning of creation, God MADE THEM MALE AND FEMALE.",MRK-9-6
13,"``FOR THIS REASON A MAN SHALL LEAVE HIS FATHER AND MOTHER,",MRK-9-7
15,"AND THE TWO SHALL BECOME ONE FLESH; so they are no longer two, but one flesh.",MRK-9-8
17,"``What therefore God has joined together, let no man separate.""",MRK-9-9
19,In the house the disciples began questioning Him about this again.,MRK-9-10
21,"And He said to them, ``Whoever divorces his wife and marries another woman commits adultery against her;",MRK-9-11
23,"and if she herself divorces her husband and marries another man, she is committing adultery.""",MRK-9-12
25,And they were bringing children to Him so that He might touch them; but the disciples rebuked them.,MRK-9-13
27,"But when Jesus saw this, He was indignant and said to them, ``Permit the children to come to Me; do not hinder them; for the kingdom of God belongs to such as these.",MRK-9-14
29,"``Truly I say to you, whoever does not receive the kingdom of God like a child will not enter it at all. """,MRK-9-15
31,"And He took them in His arms and began blessing them, laying His hands on them.",MRK-9-16
33,"As He was setting out on a journey, a man ran up to Him and knelt before Him, and asked Him, ``Good Teacher, what shall I do to inherit eternal life?""",MRK-9-17
35,"And Jesus said to him, ``Why do you call Me good? No one is good except God alone.",MRK-9-18
37,"``You know the commandments, `DO NOT MURDER, DO NOT COMMIT ADULTERY, DO NOT STEAL, DO NOT BEAR FALSE WITNESS, Do not defraud, HONOR YOUR FATHER AND MOTHER.'""",MRK-9-19
39,"And he said to Him, ``Teacher, I have kept all these things from my youth up.""",MRK-9-20
41,"Looking at him, Jesus felt a love for him and said to him, ``One thing you lack: go and sell all you possess and give to the poor, and you will have treasure in heaven; and come, follow Me.""",MRK-9-21
43,"But at these words he was saddened, and he went away grieving, for he was one who owned much property.",MRK-9-22
45,"And Jesus, looking around, said to His disciples, ``How hard it will be for those who are wealthy to enter the kingdom of God!""",MRK-9-23
47,"The disciples were amazed at His words. But Jesus answered again and said to them, ``Children, how hard it is to enter the kingdom of God!",MRK-9-24
49,"``It is easier for a camel to go through the eye of a needle than for a rich man to enter the kingdom of God.""",MRK-9-25
51,"They were even more astonished and said to Him, ``Then who can be saved?""",MRK-9-26
53,"Looking at them, Jesus said, ``With people it is impossible, but not with God; for all things are possible with God.""",MRK-9-27
55,"Peter began to say to Him, ``Behold, we have left everything and followed You.""",MRK-9-28
57,"Jesus said, ``Truly I say to you, there is no one who has left house or brothers or sisters or mother or father or children or farms, for My sake and for the gospel's sake,",MRK-9-29
59,"but that he will receive a hundred times as much now in the present age, houses and brothers and sisters and mothers and children and farms, along with persecutions; and in the age to come, eternal life.",MRK-9-30
61,"``But many who are first will be last, and the last, first.""",MRK-9-31
63,"They were on the road going up to Jerusalem, and Jesus was walking on ahead of them; and they were amazed, and those who followed were fearful. And again He took the twelve aside and began to tell them what was going to happen to Him,",MRK-9-32
65,"saying, ``Behold, we are going up to Jerusalem, and the Son of Man will be delivered to the chief priests and the scribes; and they will condemn Him to death and will hand Him over to the Gentiles.",MRK-9-33
67,"``They will mock Him and spit on Him, and scourge Him and kill Him, and three days later He will rise again.""",MRK-9-34
69,"James and John, the two sons of Zebedee, came up to Jesus, saying, ``Teacher, we want You to do for us whatever we ask of You.""",MRK-9-35
71,"And He said to them, ``What do you want Me to do for you?""",MRK-9-36
73,"They said to Him, ``Grant that we may sit, one on Your right and one on Your left, in Your glory.""",MRK-9-37
75,"But Jesus said to them, ``You do not know what you are asking. Are you able to drink the cup that I drink, or to be baptized with the baptism with which I am baptized?""",MRK-9-38
77,"They said to Him, ``We are able."" And Jesus said to them, ``The cup that I drink you shall drink; and you shall be baptized with the baptism with which I am baptized.",MRK-9-39
79,"``But to sit on My right or on My left, this is not Mine to give; but it is for those for whom it has been prepared.""",MRK-9-40
81,"Hearing this, the ten began to feel indignant with James and John.",MRK-9-41
83,"Calling them to Himself, Jesus said to them, ``You know that those who are recognized as rulers of the Gentiles lord it over them; and their great men exercise authority over them.",MRK-9-42
85,"``But it is not this way among you, but whoever wishes to become great among you shall be your servant;",MRK-9-43
87,and whoever wishes to be first among you shall be slave of all.,MRK-9-44
89,"``For even the Son of Man did not come to be served, but to serve, and to give His life a ransom for many.""",MRK-9-45
91,"Then they came to Jericho. And as He was leaving Jericho with His disciples and a large crowd, a blind beggar named Bartimaeus, the son of Timaeus, was sitting by the road.",MRK-9-46
93,"When he heard that it was Jesus the Nazarene, he began to cry out and say, ``Jesus, Son of David, have mercy on me!""",MRK-9-47
95,"Many were sternly telling him to be quiet, but he kept crying out all the more, ``Son of David, have mercy on me!""",MRK-9-48
97,"And Jesus stopped and said, ``Call him here. "" So they called the blind man, saying to him, ``Take courage, stand up! He is calling for you.""",MRK-9-49
99,"Throwing aside his cloak, he jumped up and came to Jesus.",MRK-9-50
101,"And answering him, Jesus said, ``What do you want Me to do for you?"" And the blind man said to Him, `` Rabboni, I want to regain my sight!""",MRK-9-51
103,"And Jesus said to him, ``Go; your faith has made you well."" Immediately he regained his sight and began following Him on the road.Copyrighted Material",MRK-9-52
1,"As they approached Jerusalem, at Bethphage and Bethany, near the Mount of Olives, He sent two of His disciples,",MRK-10-1
3,"and said to them, ``Go into the village opposite you, and immediately as you enter it, you will find a colt tied there, on which no one yet has ever sat; untie it and bring it here.",MRK-10-2
5,"``If anyone says to you, `Why are you doing this?' you say, `The Lord has need of it'; and immediately he will send it back here.""",MRK-10-3
7,"They went away and found a colt tied at the door, outside in the street; and they untied it.",MRK-10-4
9,"Some of the bystanders were saying to them, ``What are you doing, untying the colt?""",MRK-10-5
11,"They spoke to them just as Jesus had told them, and they gave them permission.",MRK-10-6
13,They brought the colt to Jesus and put their coats on it; and He sat on it.,MRK-10-7
15,"And many spread their coats in the road, and others spread leafy branches which they had cut from the fields.",MRK-10-8
17,Those who went in front and those who followed were shouting: ``Hosanna! BLESSED IS HE WHO COMES IN THE NAME OF THE LORD;,MRK-10-9
19,"Blessed is the coming kingdom of our father David; Hosanna in the highest!""",MRK-10-10
21,"Jesus entered Jerusalem and came into the temple; and after looking around at everything, He left for Bethany with the twelve, since it was already late.",MRK-10-11
23,"On the next day, when they had left Bethany, He became hungry.",MRK-10-12
25,"Seeing at a distance a fig tree in leaf, He went to see if perhaps He would find anything on it; and when He came to it, He found nothing but leaves, for it was not the season for figs.",MRK-10-13
27,"He said to it, ``May no one ever eat fruit from you again!"" And His disciples were listening.",MRK-10-14
29,"Then they came to Jerusalem. And He entered the temple and began to drive out those who were buying and selling in the temple, and overturned the tables of the money changers and the seats of those who were selling doves;",MRK-10-15
31,and He would not permit anyone to carry merchandise through the temple.,MRK-10-16
33,"And He began to teach and say to them, ``Is it not written, `MY HOUSE SHALL BE CALLED A HOUSE OF PRAYER FOR ALL THE NATIONS'? But you have made it a ROBBERS' DEN.""",MRK-10-17
35,"The chief priests and the scribes heard this, and began seeking how to destroy Him; for they were afraid of Him, for the whole crowd was astonished at His teaching.",MRK-10-18
37,"When evening came, they would go out of the city.",MRK-10-19
39,"As they were passing by in the morning, they saw the fig tree withered from the roots up.",MRK-10-20
41,"Being reminded, Peter said to Him, ``Rabbi, look, the fig tree which You cursed has withered.""",MRK-10-21
43,"And Jesus answered saying to them, ``Have faith in God.",MRK-10-22
45,"``Truly I say to you, whoever says to this mountain, `Be taken up and cast into the sea,' and does not doubt in his heart, but believes that what he says is going to happen, it will be granted him.",MRK-10-23
47,"``Therefore I say to you, all things for which you pray and ask, believe that you have received them, and they will be granted you.",MRK-10-24
49,"``Whenever you stand praying, forgive, if you have anything against anyone, so that your Father who is in heaven will also forgive you your transgressions.",MRK-10-25
51,"[ `` But if you do not forgive, neither will your Father who is in heaven forgive your transgressions.""]",MRK-10-26
53,"They came again to Jerusalem. And as He was walking in the temple, the chief priests and the scribes and the elders came to Him,",MRK-10-27
55,"and began saying to Him, ``By what authority are You doing these things, or who gave You this authority to do these things?""",MRK-10-28
57,"And Jesus said to them, ``I will ask you one question, and you answer Me, and then I will tell you by what authority I do these things.",MRK-10-29
59,"``Was the baptism of John from heaven, or from men? Answer Me.""",MRK-10-30
61,"They began reasoning among themselves, saying, ``If we say, `From heaven,' He will say, `Then why did you not believe him?'",MRK-10-31
63,"``But shall we say, `From men'?""--they were afraid of the people, for everyone considered John to have been a real prophet.",MRK-10-32
65,"Answering Jesus, they said, ``We do not know."" And Jesus said to them, ``Nor will I tell you by what authority I do these things.""Copyrighted Material",MRK-10-33
1,"And He began to speak to them in parables: ``A man PLANTED A VINEYARD AND PUT A WALL AROUND IT, AND DUG A VAT UNDER THE WINE PRESS AND BUILT A TOWER, and rented it out to vine-growers and went on a journey.",MRK-11-1
3,"``At the harvest time he sent a slave to the vine-growers, in order to receive some of the produce of the vineyard from the vine-growers.",MRK-11-2
5,"``They took him, and beat him and sent him away empty-handed.",MRK-11-3
7,"``Again he sent them another slave, and they wounded him in the head, and treated him shamefully.",MRK-11-4
9,"``And he sent another, and that one they killed; and so with many others, beating some and killing others.",MRK-11-5
11,"``He had one more to send, a beloved son; he sent him last of all to them, saying, `They will respect my son.'",MRK-11-6
13,"``But those vine-growers said to one another, `This is the heir; come, let us kill him, and the inheritance will be ours!'",MRK-11-7
15,"``They took him, and killed him and threw him out of the vineyard.",MRK-11-8
17,"``What will the owner of the vineyard do? He will come and destroy the vine-growers, and will give the vineyard to others.",MRK-11-9
19,"``Have you not even read this Scripture: `THE STONE WHICH THE BUILDERS REJECTED, THIS BECAME THE CHIEF CORNER stone;",MRK-11-10
21,"THIS CAME ABOUT FROM THE LORD, AND IT IS MARVELOUS IN OUR EYES'?""",MRK-11-11
23,"And they were seeking to seize Him, and yet they feared the people, for they understood that He spoke the parable against them. And so they left Him and went away.",MRK-11-12
25,Then they sent some of the Pharisees and Herodians to Him in order to trap Him in a statement.,MRK-11-13
27,"They came and said to Him, ``Teacher, we know that You are truthful and defer to no one; for You are not partial to any, but teach the way of God in truth. Is it lawful to pay a poll-tax to Caesar, or not?",MRK-11-14
29,"``Shall we pay or shall we not pay?"" But He, knowing their hypocrisy, said to them, ``Why are you testing Me? Bring Me a denarius to look at.""",MRK-11-15
31,"They brought one. And He said to them, ``Whose likeness and inscription is this?"" And they said to Him, ``Caesar's.""",MRK-11-16
33,"And Jesus said to them, ``Render to Caesar the things that are Caesar's, and to God the things that are God's."" And they were amazed at Him.",MRK-11-17
35,"Some Sadducees (who say that there is no resurrection) came to Jesus, and began questioning Him, saying,",MRK-11-18
37,"``Teacher, Moses wrote for us that IF A MAN'S BROTHER DIES and leaves behind a wife AND LEAVES NO CHILD, HIS BROTHER SHOULD MARRY THE WIFE AND RAISE UP CHILDREN TO HIS BROTHER.",MRK-11-19
39,"``There were seven brothers; and the first took a wife, and died leaving no children.",MRK-11-20
41,"``The second one married her, and died leaving behind no children; and the third likewise;",MRK-11-21
43,and so all seven left no children. Last of all the woman died also.,MRK-11-22
45,"``In the resurrection, when they rise again, which one's wife will she be? For all seven had married her.""",MRK-11-23
47,"Jesus said to them, ``Is this not the reason you are mistaken, that you do not understand the Scriptures or the power of God?",MRK-11-24
49,"``For when they rise from the dead, they neither marry nor are given in marriage, but are like angels in heaven.",MRK-11-25
51,"``But regarding the fact that the dead rise again, have you not read in the book of Moses, in the passage about the burning bush, how God spoke to him, saying, `I AM THE GOD OF ABRAHAM, AND THE GOD OF ISAAC, AND THE GOD OF JACOB'?",MRK-11-26
53,"``He is not the God of the dead, but of the living; you are greatly mistaken.""",MRK-11-27
55,"One of the scribes came and heard them arguing, and recognizing that He had answered them well, asked Him, ``What commandment is the foremost of all?""",MRK-11-28
57,"Jesus answered, ``The foremost is, `HEAR, O ISRAEL! THE LORD OUR GOD IS ONE LORD;",MRK-11-29
59,"AND YOU SHALL LOVE THE LORD YOUR GOD WITH ALL YOUR HEART, AND WITH ALL YOUR SOUL, AND WITH ALL YOUR MIND, AND WITH ALL YOUR STRENGTH.'",MRK-11-30
61,"``The second is this, `YOU SHALL LOVE YOUR NEIGHBOR AS YOURSELF.' There is no other commandment greater than these.""",MRK-11-31
63,"The scribe said to Him, ``Right, Teacher; You have truly stated that HE IS ONE, AND THERE IS NO ONE ELSE BESIDES HIM;",MRK-11-32
65,"AND TO LOVE HIM WITH ALL THE HEART AND WITH ALL THE UNDERSTANDING AND WITH ALL THE STRENGTH, AND TO LOVE ONE'S NEIGHBOR AS HIMSELF, is much more than all burnt offerings and sacrifices.""",MRK-11-33
67,"When Jesus saw that he had answered intelligently, He said to him, ``You are not far from the kingdom of God."" After that, no one would venture to ask Him any more questions.",MRK-11-34
69,"And Jesus began to say, as He taught in the temple, ``How is it that the scribes say that the Christ is the son of David?",MRK-11-35
71,"``David himself said in the Holy Spirit, `THE LORD SAID TO MY LORD, ``SIT AT MY RIGHT HAND, UNTIL I PUT YOUR ENEMIES BENEATH YOUR FEET.""'",MRK-11-36
73,"``David himself calls Him `Lord'; so in what sense is He his son?"" And the large crowd enjoyed listening to Him.",MRK-11-37
75,"In His teaching He was saying: ``Beware of the scribes who like to walk around in long robes, and like respectful greetings in the market places,",MRK-11-38
77,"and chief seats in the synagogues and places of honor at banquets,",MRK-11-39
79,"who devour widows' houses, and for appearance's sake offer long prayers; these will receive greater condemnation.""",MRK-11-40
81,"And He sat down opposite the treasury, and began observing how the people were putting money into the treasury; and many rich people were putting in large sums.",MRK-11-41
83,"A poor widow came and put in two small copper coins, which amount to a cent.",MRK-11-42
85,"Calling His disciples to Him, He said to them, ``Truly I say to you, this poor widow put in more than all the contributors to the treasury;",MRK-11-43
87,"for they all put in out of their surplus, but she, out of her poverty, put in all she owned, all she had to live on.""Copyrighted Material",MRK-11-44
1,"As He was going out of the temple, one of His disciples said to Him, ``Teacher, behold what wonderful stones and what wonderful buildings!""",MRK-12-1
3,"And Jesus said to him, ``Do you see these great buildings? Not one stone will be left upon another which will not be torn down.""",MRK-12-2
5,"As He was sitting on the Mount of Olives opposite the temple, Peter and James and John and Andrew were questioning Him privately,",MRK-12-3
7,"``Tell us, when will these things be, and what will be the sign when all these things are going to be fulfilled?""",MRK-12-4
9,"And Jesus began to say to them, ``See to it that no one misleads you.",MRK-12-5
11,"``Many will come in My name, saying, `I am He!' and will mislead many.",MRK-12-6
13,"``When you hear of wars and rumors of wars, do not be frightened; those things must take place; but that is not yet the end.",MRK-12-7
15,"``For nation will rise up against nation, and kingdom against kingdom; there will be earthquakes in various places; there will also be famines. These things are merely the beginning of birth pangs.",MRK-12-8
17,"``But be on your guard; for they will deliver you to the courts, and you will be flogged in the synagogues, and you will stand before governors and kings for My sake, as a testimony to them.",MRK-12-9
19,``The gospel must first be preached to all the nations.,MRK-12-10
21,"``When they arrest you and hand you over, do not worry beforehand about what you are to say, but say whatever is given you in that hour; for it is not you who speak, but it is the Holy Spirit.",MRK-12-11
23,"``Brother will betray brother to death, and a father his child; and children will rise up against parents and have them put to death.",MRK-12-12
25,"``You will be hated by all because of My name, but the one who endures to the end, he will be saved.",MRK-12-13
27,"``But when you see the ABOMINATION OF DESOLATION standing where it should not be (let the reader understand), then those who are in Judea must flee to the mountains.",MRK-12-14
29,"``The one who is on the housetop must not go down, or go in to get anything out of his house;",MRK-12-15
31,and the one who is in the field must not turn back to get his coat.,MRK-12-16
33,``But woe to those who are pregnant and to those who are nursing babies in those days!,MRK-12-17
35,``But pray that it may not happen in the winter.,MRK-12-18
37,"``For those days will be a time of tribulation such as has not occurred since the beginning of the creation which God created until now, and never will.",MRK-12-19
39,"``Unless the Lord had shortened those days, no life would have been saved; but for the sake of the elect, whom He chose, He shortened the days.",MRK-12-20
41,"``And then if anyone says to you, `Behold, here is the Christ'; or, `Behold, He is there'; do not believe him;",MRK-12-21
43,"for false Christs and false prophets will arise, and will show signs and wonders, in order to lead astray, if possible, the elect.",MRK-12-22
45,"``But take heed; behold, I have told you everything in advance.",MRK-12-23
47,"``But in those days, after that tribulation, THE SUN WILL BE DARKENED AND THE MOON WILL NOT GIVE ITS LIGHT,",MRK-12-24
49,"AND THE STARS WILL BE FALLING from heaven, and the powers that are in the heavens will be shaken.",MRK-12-25
51,``Then they will see THE SON OF MAN COMING IN CLOUDS with great power and glory.,MRK-12-26
53,"``And then He will send forth the angels, and will gather together His elect from the four winds, from the farthest end of the earth to the farthest end of heaven.",MRK-12-27
55,"``Now learn the parable from the fig tree: when its branch has already become tender and puts forth its leaves, you know that summer is near.",MRK-12-28
57,"``Even so, you too, when you see these things happening, recognize that He is near, right at the door.",MRK-12-29
59,"``Truly I say to you, this generation will not pass away until all these things take place.",MRK-12-30
61,"``Heaven and earth will pass away, but My words will not pass away.",MRK-12-31
63,"``But of that day or hour no one knows, not even the angels in heaven, nor the Son, but the Father alone.",MRK-12-32
65,"``Take heed, keep on the alert; for you do not know when the appointed time will come.",MRK-12-33
67,"`` It is like a man away on a journey, who upon leaving his house and putting his slaves in charge, assigning to each one his task, also commanded the doorkeeper to stay on the alert.",MRK-12-34
69,"``Therefore, be on the alert--for you do not know when the master of the house is coming, whether in the evening, at midnight, or when the rooster crows, or in the morning--",MRK-12-35
71,in case he should come suddenly and find you asleep.,MRK-12-36
73,"``What I say to you I say to all, `Be on the alert!'""Copyrighted Material",MRK-12-37
1,Now the Passover and Unleavened Bread were two days away; and the chief priests and the scribes were seeking how to seize Him by stealth and kill Him;,MRK-13-1
3,"for they were saying, ``Not during the festival, otherwise there might be a riot of the people.""",MRK-13-2
5,"While He was in Bethany at the home of Simon the leper, and reclining at the table, there came a woman with an alabaster vial of very costly perfume of pure nard; and she broke the vial and poured it over His head.",MRK-13-3
7,"But some were indignantly remarking to one another, ``Why has this perfume been wasted?",MRK-13-4
9,"``For this perfume might have been sold for over three hundred denarii, and the money given to the poor."" And they were scolding her.",MRK-13-5
11,"But Jesus said, ``Let her alone; why do you bother her? She has done a good deed to Me.",MRK-13-6
13,"``For you always have the poor with you, and whenever you wish you can do good to them; but you do not always have Me.",MRK-13-7
15,``She has done what she could; she has anointed My body beforehand for the burial.,MRK-13-8
17,"``Truly I say to you, wherever the gospel is preached in the whole world, what this woman has done will also be spoken of in memory of her.""",MRK-13-9
19,"Then Judas Iscariot, who was one of the twelve, went off to the chief priests in order to betray Him to them.",MRK-13-10
21,"They were glad when they heard this, and promised to give him money. And he began seeking how to betray Him at an opportune time.",MRK-13-11
23,"On the first day of Unleavened Bread, when the Passover lamb was being sacrificed, His disciples said to Him, ``Where do You want us to go and prepare for You to eat the Passover?""",MRK-13-12
25,"And He sent two of His disciples and said to them, ``Go into the city, and a man will meet you carrying a pitcher of water; follow him;",MRK-13-13
27,"and wherever he enters, say to the owner of the house, `The Teacher says, ``Where is My guest room in which I may eat the Passover with My disciples?""'",MRK-13-14
29,"``And he himself will show you a large upper room furnished and ready; prepare for us there.""",MRK-13-15
31,"The disciples went out and came to the city, and found it just as He had told them; and they prepared the Passover.",MRK-13-16
33,When it was evening He came with the twelve.,MRK-13-17
35,"As they were reclining at the table and eating, Jesus said, ``Truly I say to you that one of you will betray Me--one who is eating with Me.""",MRK-13-18
37,"They began to be grieved and to say to Him one by one, ``Surely not I?""",MRK-13-19
39,"And He said to them, `` It is one of the twelve, one who dips with Me in the bowl.",MRK-13-20
41,"``For the Son of Man is to go just as it is written of Him; but woe to that man by whom the Son of Man is betrayed! It would have been good for that man if he had not been born.""",MRK-13-21
43,"While they were eating, He took some bread, and after a blessing He broke it, and gave it to them, and said, ``Take it; this is My body.""",MRK-13-22
45,"And when He had taken a cup and given thanks, He gave it to them, and they all drank from it.",MRK-13-23
47,"And He said to them, ``This is My blood of the covenant, which is poured out for many.",MRK-13-24
49,"``Truly I say to you, I will never again drink of the fruit of the vine until that day when I drink it new in the kingdom of God.""",MRK-13-25
51,"After singing a hymn, they went out to the Mount of Olives.",MRK-13-26
53,"And Jesus said to them, ``You will all fall away, because it is written, `I WILL STRIKE DOWN THE SHEPHERD, AND THE SHEEP SHALL BE SCATTERED.'",MRK-13-27
55,"``But after I have been raised, I will go ahead of you to Galilee.""",MRK-13-28
57,"But Peter said to Him, `` Even though all may fall away, yet I will not.""",MRK-13-29
59,"And Jesus said to him, ``Truly I say to you, that this very night, before a rooster crows twice, you yourself will deny Me three times.""",MRK-13-30
61,"But Peter kept saying insistently, `` Even if I have to die with You, I will not deny You!"" And they all were saying the same thing also.",MRK-13-31
63,"They came to a place named Gethsemane; and He said to His disciples, ``Sit here until I have prayed.""",MRK-13-32
65,"And He took with Him Peter and James and John, and began to be very distressed and troubled.",MRK-13-33
67,"And He said to them, ``My soul is deeply grieved to the point of death; remain here and keep watch.""",MRK-13-34
69,"And He went a little beyond them, and fell to the ground and began to pray that if it were possible, the hour might pass Him by.",MRK-13-35
71,"And He was saying, ``Abba! Father! All things are possible for You; remove this cup from Me; yet not what I will, but what You will.""",MRK-13-36
73,"And He came and found them sleeping, and said to Peter, ``Simon, are you asleep? Could you not keep watch for one hour?",MRK-13-37
75,"``Keep watching and praying that you may not come into temptation; the spirit is willing, but the flesh is weak.""",MRK-13-38
77,"Again He went away and prayed, saying the same words.",MRK-13-39
79,"And again He came and found them sleeping, for their eyes were very heavy; and they did not know what to answer Him.",MRK-13-40
81,"And He came the third time, and said to them, ``Are you still sleeping and resting? It is enough; the hour has come; behold, the Son of Man is being betrayed into the hands of sinners.",MRK-13-41
83,"``Get up, let us be going; behold, the one who betrays Me is at hand!""",MRK-13-42
85,"Immediately while He was still speaking, Judas, one of the twelve, came up accompanied by a crowd with swords and clubs, who were from the chief priests and the scribes and the elders.",MRK-13-43
87,"Now he who was betraying Him had given them a signal, saying, ``Whomever I kiss, He is the one; seize Him and lead Him away under guard.""",MRK-13-44
89,"After coming, Judas immediately went to Him, saying, ``Rabbi!"" and kissed Him.",MRK-13-45
91,They laid hands on Him and seized Him.,MRK-13-46
93,"But one of those who stood by drew his sword, and struck the slave of the high priest and cut off his ear.",MRK-13-47
95,"And Jesus said to them, ``Have you come out with swords and clubs to arrest Me, as you would against a robber?",MRK-13-48
97,"``Every day I was with you in the temple teaching, and you did not seize Me; but this has taken place to fulfill the Scriptures.""",MRK-13-49
99,And they all left Him and fled.,MRK-13-50
101,"A young man was following Him, wearing nothing but a linen sheet over his naked body; and they seized him.",MRK-13-51
103,But he pulled free of the linen sheet and escaped naked.,MRK-13-52
105,They led Jesus away to the high priest; and all the chief priests and the elders and the scribes gathered together.,MRK-13-53
107,"Peter had followed Him at a distance, right into the courtyard of the high priest; and he was sitting with the officers and warming himself at the fire.",MRK-13-54
109,"Now the chief priests and the whole Council kept trying to obtain testimony against Jesus to put Him to death, and they were not finding any.",MRK-13-55
111,"For many were giving false testimony against Him, but their testimony was not consistent.",MRK-13-56
113,"Some stood up and began to give false testimony against Him, saying,",MRK-13-57
115,"``We heard Him say, `I will destroy this temple made with hands, and in three days I will build another made without hands.'""",MRK-13-58
117,Not even in this respect was their testimony consistent.,MRK-13-59
119,"The high priest stood up and came forward and questioned Jesus, saying, ``Do You not answer? What is it that these men are testifying against You?""",MRK-13-60
121,"But He kept silent and did not answer. Again the high priest was questioning Him, and saying to Him, ``Are You the Christ, the Son of the Blessed One? """,MRK-13-61
123,"And Jesus said, ``I am; and you shall see THE SON OF MAN SITTING AT THE RIGHT HAND OF POWER, and COMING WITH THE CLOUDS OF HEAVEN.""",MRK-13-62
125,"Tearing his clothes, the high priest said, ``What further need do we have of witnesses?",MRK-13-63
